Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
10,1,10,1,6,Thursday,475.637
10,1,10,1,7,Thursday,588.172
10,1,10,1,8,Thursday,622.447
10,1,10,1,9,Thursday,614.693
10,1,10,1,10,Thursday,601.794
10,1,10,1,11,Thursday,644.683
10,1,10,1,12,Thursday,671.489
10,1,10,1,13,Thursday,632.589
10,1,10,1,14,Thursday,621.253
10,1,10,1,15,Thursday,668.336
10,1,10,1,16,Thursday,893.497
10,1,10,1,17,Thursday,1256.613
10,1,10,1,18,Thursday,1088.619
10,1,10,1,19,Thursday,1035.296
10,1,10,1,20,Thursday,896.448
10,1,10,1,21,Thursday,854.855
10,1,10,1,22,Thursday,709.289
10,1,10,1,23,Thursday,563.353
10,1,10,1,24,Thursday,478.195
11,1,11,1,1,Friday,417.15
11,1,11,1,2,Friday,383.285
11,1,11,1,3,Friday,371.115
11,1,11,1,4,Friday,370.019
11,1,11,1,5,Friday,401.484
11,1,11,1,6,Friday,475.637
11,1,11,1,7,Friday,588.172
11,1,11,1,8,Friday,622.447
11,1,11,1,9,Friday,614.693
11,1,11,1,10,Friday,601.794
11,1,11,1,11,Friday,644.683
11,1,11,1,12,Friday,671.489
11,1,11,1,13,Friday,632.589
11,1,11,1,14,Friday,621.253
11,1,11,1,15,Friday,668.336
11,1,11,1,16,Friday,893.497
11,1,11,1,17,Friday,1256.613
11,1,11,1,18,Friday,1088.619
11,1,11,1,19,Friday,1035.296
11,1,11,1,20,Friday,896.448
11,1,11,1,21,Friday,854.855
11,1,11,1,22,Friday,709.289
11,1,11,1,23,Friday,563.353
11,1,11,1,24,Friday,478.195
12,1,12,1,1,Saturday,435.686
12,1,12,1,2,Saturday,393.04
12,1,12,1,3,Saturday,372.574
12,1,12,1,4,Saturday,368.858
12,1,12,1,5,Saturday,373.916
12,1,12,1,6,Saturday,397.582
12,1,12,1,7,Saturday,513.077
12,1,12,1,8,Saturday,646.167
12,1,12,1,9,Saturday,703.051
12,1,12,1,10,Saturday,789.731
12,1,12,1,11,Saturday,861.681
12,1,12,1,12,Saturday,880.934
12,1,12,1,13,Saturday,805.485
12,1,12,1,14,Saturday,820.541
12,1,12,1,15,Saturday,810.902
12,1,12,1,16,Saturday,920.451
12,1,12,1,17,Saturday,1242.517
12,1,12,1,18,Saturday,1013.837
12,1,12,1,19,Saturday,971.465
12,1,12,1,20,Saturday,875.975
12,1,12,1,21,Saturday,816.569
12,1,12,1,22,Saturday,710.323
12,1,12,1,23,Saturday,560.593
12,1,12,1,24,Saturday,486.409
13,1,13,1,1,Sunday,435.686
13,1,13,1,2,Sunday,393.04
13,1,13,1,3,Sunday,372.574
13,1,13,1,4,Sunday,368.858
13,1,13,1,5,Sunday,373.916
13,1,13,1,6,Sunday,397.582
13,1,13,1,7,Sunday,513.077
13,1,13,1,8,Sunday,646.167
13,1,13,1,9,Sunday,703.051
13,1,13,1,10,Sunday,789.731
13,1,13,1,11,Sunday,861.681
13,1,13,1,12,Sunday,880.934
13,1,13,1,13,Sunday,805.485
13,1,13,1,14,Sunday,820.541
13,1,13,1,15,Sunday,810.902
13,1,13,1,16,Sunday,920.451
13,1,13,1,17,Sunday,1242.517
13,1,13,1,18,Sunday,1013.837
13,1,13,1,19,Sunday,971.465
13,1,13,1,20,Sunday,875.975
13,1,13,1,21,Sunday,816.569
13,1,13,1,22,Sunday,710.323
13,1,13,1,23,Sunday,560.593
13,1,13,1,24,Sunday,486.409
14,1,14,1,1,Monday,417.15
14,1,14,1,2,Monday,383.285
14,1,14,1,3,Monday,371.115
14,1,14,1,4,Monday,370.019
14,1,14,1,5,Monday,401.484
14,1,14,1,6,Monday,475.637
14,1,14,1,7,Monday,588.172
14,1,14,1,8,Monday,622.447
14,1,14,1,9,Monday,614.693
14,1,14,1,10,Monday,601.794
14,1,14,1,11,Monday,644.683
14,1,14,1,12,Monday,671.489
14,1,14,1,13,Monday,632.589
14,1,14,1,14,Monday,621.253
14,1,14,1,15,Monday,668.336
14,1,14,1,16,Monday,893.497
14,1,14,1,17,Monday,1256.613
14,1,14,1,18,Monday,1088.619
14,1,14,1,19,Monday,1035.296
