climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,cooktop_type,annual_variable_cost,annual_kg_co2e
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),45.984417344173444,18.883468834688347
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,41.59821138211382,17.082276422764227
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,55.874417344173445,80.32520325203252
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),45.984417344173444,18.883468834688347
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,46.72926829268292,17.082276422764227
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,84.83247696476964,80.32520325203252
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),51.65650406504064,18.883468834688347
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,46.72926829268292,17.082276422764227
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,84.83247696476964,80.32520325203252
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Rotorua,Electricity PlanId 10274,Methane PlanId 172057,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),51.65650406504064,18.883468834688347
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,39.94894308943089,17.082276422764227
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,58.30456368563685,80.32520325203252
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),44.16124661246612,18.883468834688347
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,39.94894308943089,17.082276422764227
Bay of Plenty,Electricity PlanId 161836,Methane PlanId 172053,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,58.30456368563685,80.32520325203252
